participant,condition,char,RT
ESU_04182025,ND_fast,X,717
JBO_04172025,D_fast,X,353
JBO_04172025,ND_fast,X,652
JCN_04192025,D_fast,X,288
JCN_04192025,ND_fast,X,572
JMY_03312025,D_fast,X,276
JMY_03312025,ND_fast,X,518
JPK_04182025,D_fast,X,326
JPK_04182025,ND_fast,X,430
JWG_03272025,D_fast,X,361
JWG_03272025,ND_fast,X,499
JXI_04182025,D_fast,X,265
JXI_04182025,ND_fast,X,441
KCA_04072025,D_fast,X,368
KCA_04072025,ND_fast,X,568
KHT_04072025,D_fast,X,349
KHT_04072025,ND_fast,X,690
KSN_04042025,D_fast,X,361
KSN_04042025,ND_fast,X,660
MAO_04192025,D_fast,X,307
MAO_04192025,ND_fast,X,552
MHE_04032025,D_fast,X,380
MHE_04032025,ND_fast,X,579
MSN_04092025,D_fast,X,445
MSN_04092025,ND_fast,X,671
NMS_04112025,D_fast,X,361
NMS_04112025,ND_fast,X,564
OMY_04202025,D_fast,X,384
OMY_04202025,ND_fast,X,690
TCO_03272025,D_fast,X,426
TCO_03272025,ND_fast,X,606
YWG_03262025,D_fast,X,307
YWG_03262025,ND_fast,X,549
AMS_04142025,D_fast,Z,253
AMS_04142025,ND_fast,Z,598
APM_04072025,D_fast,Z,598
APM_04072025,ND_fast,Z,779
ARI_04162025,D_fast,Z,418
ARI_04162025,ND_fast,Z,641
CJG_03242025,D_fast,Z,307
CJG_03242025,ND_fast,Z,595
CKM_04162025,D_fast,Z,510
CKM_04162025,ND_fast,Z,679
CLE_03272025,D_fast,Z,495
CLE_03272025,ND_fast,Z,652
EBZ_04182025,D_fast,Z,529
EBZ_04182025,ND_fast,Z,499
ESU_04182025,D_fast,Z,265
ESU_04182025,ND_fast,Z,729
JBO_04172025,D_fast,Z,456
JBO_04172025,ND_fast,Z,644
JCN_04192025,D_fast,Z,303
JCN_04192025,ND_fast,Z,656
JMY_03312025,D_fast,Z,303
JMY_03312025,ND_fast,Z,560
JPK_04182025,D_fast,Z,284
JPK_04182025,ND_fast,Z,460
JWG_03272025,D_fast,Z,522
JWG_03272025,ND_fast,Z,633
